_id,id,name,has_lights,park,field_usage,goal_post,infield_type,left_field_distance,center_field_distance,right_field_distance,backstop,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
93,1077779724,Scherer,False,Scherer Park,Diamond Only,0,Skinned,175,175,200,NA,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46666724,-79.99961778
94,940222561,Sheraden Field 1,True,Sheraden Park,Diamond and Rectangular,0,Skinned,200,200,185,NA,Sheraden,2,20,42003562500,5,20,6,1-16,40.4577312,-80.05934351
95,1440688322,Sheraden Field 2,False,Sheraden Park,Diamond Only,0,Skinned,330,230,205,NA,Sheraden,2,20,42003562500,5,20,6,1-16,40.45975784,-80.061061
100,1996717338,Vanucci Field 1,True,Vanucci Park,Diamond Only,0,Skinned,175,190,183,NA,Beechview,4,19,42003191600,5,19,6,4-28,40.41490111,-80.01719734
88,2145399566,Rye-Molt,False,Young Field Park,Diamond Only,0,Skinned,220,270,213,NA,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.4730597,-80.03239525
89,1728440907,Sam Bryen Field 1,True,Brookline Memorial Park,Diamond Only,0,Skinned,200,200,200,NA,Brookline,4,32,42003320600,5,32,6,4-25,40.38987922,-80.00691636
90,1440646574,Sam Bryen Field 2,True,Brookline Memorial Park,Diamond Only,0,Skinned,200,200,200,NA,Brookline,4,32,42003320600,5,32,6,4-25,40.389388,-80.00650968
91,2062116391,Schenley Field  2,False,Schenley Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43345527,-79.94218974
101,17732151,Vanucci Field 2,True,Vanucci Park,Diamond Only,0,Skinned,262,240,325,NA,Beechview,4,19,42003191600,5,19,6,4-28,40.41480881,-80.01816313
102,1351301280,Volunteers Field 1,True,Volunteers Park,Diamond Only,0,Skinned,185,200,185,NA,Carrick,4,29,42003290100,3,29,3,4-23,40.39723418,-79.99347879
103,423031270,Volunteers Field 2,True,Volunteers Park,Diamond Only,0,Skinned,330,300,327,NA,Carrick,4,29,42003290100,3,29,3,4-23,40.39616782,-79.9924074
